,lat_centroid,lon_centroid,year,month
30700,38.014096395973056,-87.00766950958703,2021,4
30707,38.014096395973056,-87.00766950958703,2020,4
30714,38.014096395973056,-87.00766950958703,2019,10
30722,38.014096395973056,-87.00766950958703,2016,4
30723,38.014096395973056,-87.00766950958703,2016,5
30724,38.014096395973056,-87.00766950958703,2016,6
30754,38.014096395973056,-87.00766950958703,2012,8
30755,38.014096395973056,-87.00766950958703,2012,9
30756,38.014096395973056,-87.00766950958703,2012,10
30771,38.014096395973056,-87.00766950958703,2009,4
30772,38.014096395973056,-87.00766950958703,2009,5
30773,38.014096395973056,-87.00766950958703,2009,6
30777,38.014096395973056,-87.00766950958703,2009,10
30778,38.014096395973056,-87.00766950958703,2008,4
30784,38.014096395973056,-87.00766950958703,2008,10
30789,38.014096395973056,-87.00766950958703,2007,8
30790,38.014096395973056,-87.00766950958703,2007,9
30791,38.014096395973056,-87.00766950958703,2007,10
30792,38.014096395973056,-87.00766950958703,2006,4
30793,38.014096395973056,-87.00766950958703,2006,5
30798,38.014096395973056,-87.00766950958703,2006,10
30813,38.014096395973056,-87.00766950958703,2003,5
30814,38.014096395973056,-87.00766950958703,2003,6
30815,38.014096395973056,-87.00766950958703,2003,7
30816,38.014096395973056,-87.00766950958703,2003,8
30819,38.014096395973056,-87.00766950958703,2002,4
30820,38.014096395973056,-87.00766950958703,2002,5
30821,38.014096395973056,-87.00766950958703,2002,6
30822,38.014096395973056,-87.00766950958703,2002,7
30823,38.014096395973056,-87.00766950958703,2002,8
30824,38.014096395973056,-87.00766950958703,2001,4
30825,38.014096395973056,-87.00766950958703,2001,5
30826,38.014096395973056,-87.00766950958703,2001,6
30827,38.014096395973056,-87.00766950958703,2001,7
30828,38.014096395973056,-87.00766950958703,2001,8
30829,38.014096395973056,-87.00766950958703,2001,9
30830,38.014096395973056,-87.00766950958703,2001,10
30831,38.014096395973056,-87.00766950958703,2000,4
30832,38.014096395973056,-87.00766950958703,2000,5
30833,38.014096395973056,-87.00766950958703,2000,6
30834,38.014096395973056,-87.00766950958703,2000,7
30835,38.014096395973056,-87.00766950958703,2000,8
30836,38.014096395973056,-87.00766950958703,2000,9
30837,38.014096395973056,-87.00766950958703,2000,10
30845,39.08884212786493,-87.41471967132539,2022,4
30846,39.08884212786493,-87.41471967132539,2022,5
30847,39.08884212786493,-87.41471967132539,2022,6
30848,39.08884212786493,-87.41471967132539,2022,7
30849,39.08884212786493,-87.41471967132539,2022,8
30850,39.08884212786493,-87.41471967132539,2022,9
30851,39.08884212786493,-87.41471967132539,2022,10
30852,39.08884212786493,-87.41471967132539,2021,4
30859,39.08884212786493,-87.41471967132539,2020,4
30866,39.08884212786493,-87.41471967132539,2019,10
30881,39.08884212786493,-87.41471967132539,2016,4
30882,39.08884212786493,-87.41471967132539,2016,5
30883,39.08884212786493,-87.41471967132539,2016,6
30916,39.08884212786493,-87.41471967132539,2009,4
30917,39.08884212786493,-87.41471967132539,2009,5
30918,39.08884212786493,-87.41471967132539,2009,6
30922,39.08884212786493,-87.41471967132539,2009,10
30923,39.08884212786493,-87.41471967132539,2008,4
30929,39.08884212786493,-87.41471967132539,2008,10
30934,39.08884212786493,-87.41471967132539,2007,8
30935,39.08884212786493,-87.41471967132539,2007,9
30936,39.08884212786493,-87.41471967132539,2007,10
30937,39.08884212786493,-87.41471967132539,2006,4
30938,39.08884212786493,-87.41471967132539,2006,5
30943,39.08884212786493,-87.41471967132539,2006,10
30958,39.08884212786493,-87.41471967132539,2003,5
30959,39.08884212786493,-87.41471967132539,2003,6
30960,39.08884212786493,-87.41471967132539,2003,7
30961,39.08884212786493,-87.41471967132539,2003,8
30964,39.08884212786493,-87.41471967132539,2002,4
30965,39.08884212786493,-87.41471967132539,2002,5
30966,39.08884212786493,-87.41471967132539,2002,6
30967,39.08884212786493,-87.41471967132539,2002,7
30968,39.08884212786493,-87.41471967132539,2002,8
30969,39.08884212786493,-87.41471967132539,2001,4
30970,39.08884212786493,-87.41471967132539,2001,5
30971,39.08884212786493,-87.41471967132539,2001,6
30972,39.08884212786493,-87.41471967132539,2001,7
30973,39.08884212786493,-87.41471967132539,2001,8
30974,39.08884212786493,-87.41471967132539,2001,9
30975,39.08884212786493,-87.41471967132539,2001,10
30976,39.08884212786493,-87.41471967132539,2000,4
30977,39.08884212786493,-87.41471967132539,2000,5
30978,39.08884212786493,-87.41471967132539,2000,6
30979,39.08884212786493,-87.41471967132539,2000,7
30980,39.08884212786493,-87.41471967132539,2000,8
30981,39.08884212786493,-87.41471967132539,2000,9
30982,39.08884212786493,-87.41471967132539,2000,10
