,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
2287,2028:PA:SCAN,2028,PA,SCAN,Mahantango Ck,GC,Northumberland,020503010801,720.0,40.67309,-76.66702,-5.0,24393,MHCP1,1999-04-27 13:00,2100-01-01 00:00
2293,2079:KY:SCAN,2079,KY,SCAN,Mammoth Cave,GC,Hart,051100010808,790.0,37.1864,-86.04093,-6.0,29746,MAMK2,2003-08-28 00:00,2100-01-01 00:00
2298,2102:HI:SCAN,2102,HI,SCAN,Mana House,GC,Hawaii,200100000202,4230.0,19.95658,-155.53517,-10.0,32500,MANH1,2005-02-18 00:00,2100-01-01 00:00
2302,2020:ND:SCAN,2020,ND,SCAN,Mandan #1,GC,Morton,101301020105,1930.0,46.76667,-100.91667,-7.0,19646,MNDN8,1993-11-08 00:00,2100-01-01 00:00
2303,2156:UT:SCAN,2156,UT,SCAN,Manderfield,GC,Beaver,160300070101,6190.0,38.36649,-112.64291,-7.0,40633,MNDU1,2010-04-16 00:00,2100-01-01 00:00
2307,2149:CA:SCAN,2149,CA,SCAN,Marble Creek,GC,Mono,180901020501,6190.0,37.77767,-118.4209,-8.0,40058,MCXC1,2009-05-06 00:00,2100-01-01 00:00
2311,15:PR:SCAN,15,PR,SCAN,Maricao Forest,GC,UNKNOWN,210100030405,1670.0,18.15,-67.00468,-4.0,28522,MAFP4,2001-05-08 00:00,2100-01-01 00:00
2313,2225:MO:SCAN,2225,MO,SCAN,Mark Twain HS,GC,Ralls,071100070205,730.0,39.51311,-91.51401,-6.0,2018MO,CNRM7,2018-05-17 00:00,2100-01-01 00:00
2329,2043:NH:SCAN,2043,NH,SCAN,Mascoma River,GC,Grafton,010801060101,1390.0,43.7756,-72.02593,-5.0,24097,MSRN3,1998-08-03 00:00,2100-01-01 00:00
2330,2004:IL:SCAN,2004,IL,SCAN,Mason #1,GC,Mason,071300030507,490.0,40.31314,-89.90187,-6.0,18819,MASI2,1993-10-01 00:00,2100-01-01 00:00
